State Name:-,Total Sales Unit:-,Customer Return(DTO) Unit:-,Courier Return(RTO) Unit:-,Cancelled Units :-,Net Sale Units:-
West Bengal,827,84,136,55,552
Uttar Pradesh,771,124,148,50,449
Bihar,735,71,142,44,478
Maharashtra,661,121,72,23,445
Assam,589,48,107,26,408
Karnataka,579,89,81,27,382
Orissa,347,59,64,22,202
Jharkhand,339,34,51,20,234
NA,338,0,7,143,188
Madhya Pradesh,306,55,43,15,193
Telangana,238,16,40,13,169
Delhi,235,49,47,8,131
Gujarat,227,36,17,5,169
Andhra Pradesh,211,26,24,9,152
Rajasthan,183,33,32,10,108
Tamil Nadu,161,21,23,4,113
Chhattisgarh,144,10,19,14,101
Uttarakhand,126,23,23,8,72
Tripura,125,4,24,5,92
Haryana,122,22,27,6,67
Kerala,85,15,13,6,51
Manipur,62,0,7,4,51
Punjab,49,5,16,5,23
Goa,45,11,4,2,28
Himachal Pradesh,37,8,3,1,25
Jammu and Kashmir,23,0,4,4,15
Arunachal Pradesh,18,1,4,2,11
Andaman and Nicobar Islands,8,0,0,1,7
Chandigarh,7,1,1,0,5
Meghalaya,6,0,1,0,5
Nagaland,5,1,2,0,2
Pondicherry,4,0,0,0,4
DN,2,0,0,0,2
Daman and Diu,1,0,0,0,1
Dadra and Nagar Haveli,1,0,0,0,1
Sikkim,1,0,0,1,0
